case_mass_success,mean_mass,p10_mass,mean_size,median_size,p90_size,top1_coverage,minority_fraction,empty,rep,model,method
0.8717948717948718,0.8808134810406659,0.6393889798145119,13.904273504273505,13.0,24.0,0.9299145299145299,0.8123404243012007,0.0,0,0,global
0.7760683760683761,0.813154043799963,0.5,8.280341880341881,8.0,14.0,0.8854700854700854,0.7165271932778927,0.0,0,0,top1_cp
0.8803418803418803,0.8861731982029891,0.6535548172757476,14.47008547008547,13.0,26.0,0.9333333333333333,0.818326231059698,0.0,0,0,mccp10
0.8905982905982905,0.8916819626598449,0.6821948488241883,17.326495726495725,15.0,29.0,0.9333333333333333,0.8255888177995808,0.0,0,0,pacs_mondrian
0.8683760683760684,0.8854080256999876,0.6470588235294117,13.270085470085471,13.0,23.0,0.935042735042735,0.8246372159788035,0.0,0,1,global
0.764102564102564,0.816344985642592,0.49577464788732395,7.844444444444444,7.0,13.0,0.8803418803418803,0.7251190320651764,0.0,0,1,top1_cp
0.8854700854700854,0.8941614570457993,0.6666666666666666,14.55042735042735,14.0,26.0,0.9384615384615385,0.8422442475995258,0.0,0,1,mccp10
0.8923076923076924,0.8986518387198401,0.6842105263157894,18.02905982905983,17.0,36.0,0.9401709401709402,0.8391685682949861,0.0,0,1,pacs_mondrian
0.882051282051282,0.8891254600736487,0.648235294117647,16.418803418803417,15.0,28.600000000000023,0.935042735042735,0.8304516742564128,0.0,0,2,global
0.7931623931623931,0.825913585475602,0.4857142857142858,10.31965811965812,9.0,18.0,0.8905982905982905,0.7410233897504926,0.0,0,2,top1_cp
0.8888888888888888,0.8941449666536985,0.6666666666666666,17.31965811965812,16.0,30.0,0.9384615384615385,0.8379532819961157,0.0,0,2,mccp10
0.8957264957264958,0.8973500985868862,0.6874493927125506,22.18974358974359,16.0,41.0,0.9333333333333333,0.8453170196448598,0.0,0,2,pacs_mondrian
0.8940170940170941,0.9001592926680824,0.6692307692307693,18.572649572649574,17.0,34.0,0.9435897435897436,0.846883150498279,0.0,0,3,global
0.7897435897435897,0.825556665845543,0.46153846153846156,10.24102564102564,10.0,18.0,0.882051282051282,0.748420584787621,0.0,0,3,top1_cp
0.8888888888888888,0.8958469789044506,0.6666666666666666,17.782905982905984,16.0,32.0,0.9401709401709402,0.8420566277595304,0.0,0,3,mccp10
0.9128205128205128,0.9141861625079217,0.7272727272727272,22.67863247863248,25.0,35.0,0.9504273504273504,0.876698374432408,0.0,0,3,pacs_mondrian
0.8547008547008547,0.8729254035702663,0.5816858702243785,14.478632478632479,13.0,25.0,0.9145299145299145,0.8235935202829624,0.0,1,0,global
0.7965811965811965,0.8291970712249389,0.5,9.572649572649572,9.0,16.0,0.8871794871794871,0.7479971122781914,0.0,1,0,top1_cp
0.8717948717948718,0.8834241350030042,0.6417582417582417,15.406837606837607,14.0,26.0,0.9264957264957265,0.8282466336980248,0.0,1,0,mccp10
0.8803418803418803,0.887754768668333,0.650479954827781,18.246153846153845,20.0,25.0,0.9299145299145299,0.8341068311984015,0.0,1,0,pacs_mondrian
0.8957264957264958,0.8980391873450758,0.6666666666666666,14.437606837606838,14.0,25.0,0.9401709401709402,0.8381541226007951,0.0,1,1,global
0.8085470085470086,0.8261096639870606,0.5,8.317948717948719,8.0,14.0,0.8940170940170941,0.7261015850363949,0.0,1,1,top1_cp
0.8991452991452992,0.9017156437960878,0.6953846153846154,15.126495726495726,14.0,26.600000000000023,0.9401709401709402,0.8480624998670321,0.0,1,1,mccp10
0.9145299145299145,0.9155439636507346,0.719077568134172,21.747008547008548,23.0,33.0,0.9538461538461539,0.8543601278719081,0.0,1,1,pacs_mondrian
0.8974358974358975,0.8986497142621132,0.6866419294990724,18.813675213675214,18.0,33.0,0.9230769230769231,0.8590462161401391,0.0,1,2,global
0.7829059829059829,0.8180480808414856,0.43262711864406783,8.788034188034189,8.0,14.600000000000023,0.864957264957265,0.735688774552398,0.0,1,2,top1_cp
0.8888888888888888,0.8912793803762266,0.6666666666666666,17.646153846153847,17.0,30.0,0.9179487179487179,0.8497842099855392,0.0,1,2,mccp10
0.9128205128205128,0.9040598064757619,0.7101045296167249,21.314529914529913,20.0,38.0,0.9316239316239316,0.8565155826685523,0.0,1,2,pacs_mondrian
0.9247863247863248,0.9195449800738068,0.7701098901098902,21.96068376068376,20.0,37.0,0.9555555555555556,0.8676990829283818,0.0,1,3,global
0.864957264957265,0.8619745592087494,0.6051612903225808,12.1008547008547,12.0,21.0,0.9162393162393162,0.7765725088917931,0.0,1,3,top1_cp
0.9162393162393162,0.9090116374264269,0.7335064935064937,19.487179487179485,18.0,33.0,0.947008547008547,0.8535216238170797,0.0,1,3,mccp10
0.9264957264957265,0.9255355694516675,0.773968253968254,26.926495726495727,22.0,49.0,0.9572649572649573,0.874265016339768,0.0,1,3,pacs_mondrian
