case_mass_success,mean_mass,p10_mass,mean_size,median_size,p90_size,top1_coverage,minority_fraction,empty,method,q_mass,alpha_case,model,rep,ntrain,ncal,ntest
0.9487179487179487,0.8795190505668534,0.6446753246753248,12.370940170940171,12.0,21.600000000000023,0.9299145299145299,0.8173679273293712,0.0,top1_cp,0.5,0.1,0,0,778,584,585
0.9623931623931624,0.9055912731605156,0.7142857142857144,15.96068376068376,15.0,29.0,0.9452991452991453,0.852124352230187,0.0,mccp10,0.5,0.1,0,0,778,584,585
0.9623931623931624,0.9043519569211993,0.7142857142857143,15.784615384615385,14.0,29.0,0.9435897435897436,0.8515308099699782,0.0,soft_exact,0.5,0.1,0,0,778,584,585
0.9316239316239316,0.8510334929143024,0.5660714285714286,9.446153846153846,9.0,16.0,0.9111111111111111,0.7705848037519831,0.0,panel_quantile_global,0.5,0.1,0,0,778,584,585
0.9435897435897436,0.8530202091159932,0.5714285714285715,11.87008547008547,9.0,25.0,0.9230769230769231,0.733207263147378,0.0,pacs,0.5,0.1,0,0,778,584,585
0.9179487179487179,0.8366107014133705,0.5714285714285714,9.14017094017094,9.0,15.0,0.905982905982906,0.7416697698546573,0.0,top1_cp,0.5,0.1,1,0,778,584,585
0.9555555555555556,0.8907793975742387,0.6666666666666666,15.087179487179487,14.0,26.600000000000023,0.9418803418803419,0.8337254190160657,0.0,mccp10,0.5,0.1,1,0,778,584,585
0.9555555555555556,0.8896090541699976,0.6666666666666666,14.767521367521368,14.0,26.0,0.9418803418803419,0.8295539455342473,0.0,soft_exact,0.5,0.1,1,0,778,584,585
0.9094017094017094,0.8268788533165666,0.5,8.574358974358974,8.0,14.0,0.8991452991452992,0.7262734516033734,0.0,panel_quantile_global,0.5,0.1,1,0,778,584,585
0.8905982905982905,0.7984016677673669,0.47182662538699693,8.923076923076923,7.0,19.0,0.8888888888888888,0.6389446454608421,0.0,pacs,0.5,0.1,1,0,778,584,585
0.9111111111111111,0.8386051558701643,0.5384615384615385,11.553846153846154,11.0,20.0,0.8957264957264958,0.7723595384196114,0.0,top1_cp,0.5,0.1,2,0,778,584,585
0.9521367521367521,0.903141249422203,0.6816842105263158,20.702564102564104,18.0,38.0,0.9401709401709402,0.8592117048466417,0.0,mccp10,0.5,0.1,2,0,778,584,585
0.9504273504273504,0.9004717837575485,0.6718379446640316,20.015384615384615,18.0,37.0,0.9384615384615385,0.855497907555341,0.0,soft_exact,0.5,0.1,2,0,778,584,585
0.8957264957264958,0.816296971838715,0.4794670846394985,10.01025641025641,9.0,18.0,0.882051282051282,0.7388720453693685,0.0,panel_quantile_global,0.5,0.1,2,0,778,584,585
0.8923076923076924,0.8310104797091337,0.46783216783216797,15.25982905982906,10.0,33.60000000000002,0.8957264957264958,0.7380731980251776,0.0,pacs,0.5,0.1,2,0,778,584,585
