success,mean_size,p90_size,mean_mass,method,rep,ntrain,ncal,ntest
0.8284518828451883,9.230125523012552,11.200000000000017,0.8477126917712692,top1_cp,0,315,256,239
0.9163179916317992,11.401673640167363,14.0,0.9064514843594341,mccp10,0,315,256,239
0.9414225941422594,12.00836820083682,14.0,0.9225821876867902,global_panel,0,315,256,239
0.9665271966527197,12.635983263598327,13.0,0.9365670452281332,pacs_mondrian_q0.90,0,315,256,239
0.8526785714285714,10.736607142857142,13.0,0.8605782312925171,top1_cp,1,337,249,224
0.9151785714285714,12.535714285714286,16.0,0.907904974489796,mccp10,1,337,249,224
0.9196428571428571,13.044642857142858,16.0,0.9180920493197279,global_panel,1,337,249,224
0.9196428571428571,12.691964285714286,13.700000000000017,0.9124723639455782,pacs_mondrian_q0.90,1,337,249,224
0.8410041841004184,9.154811715481172,12.0,0.8545776051006176,top1_cp,2,328,243,239
0.9121338912133892,11.94979079497908,14.0,0.9191322972703725,mccp10,2,328,243,239
0.9037656903765691,11.539748953974895,14.0,0.9133582386929667,global_panel,2,328,243,239
0.9121338912133892,11.631799163179917,12.0,0.9108418011556088,pacs_mondrian_q0.90,2,328,243,239
0.9128630705394191,12.95850622406639,16.0,0.9178976486860305,top1_cp,3,312,257,241
0.9045643153526971,12.207468879668049,14.0,0.9044526773364948,mccp10,3,312,257,241
0.921161825726141,13.49792531120332,16.0,0.9283955739972339,global_panel,3,312,257,241
0.966804979253112,13.394190871369295,14.0,0.9529934795494962,pacs_mondrian_q0.90,3,312,257,241
0.8924302788844621,11.741035856573705,14.0,0.9013194839688864,top1_cp,4,316,243,251
0.9043824701195219,12.458167330677291,16.0,0.9152532726237906,mccp10,4,316,243,251
0.9123505976095617,12.9800796812749,16.0,0.9269664200341491,global_panel,4,316,243,251
0.9641434262948207,13.326693227091633,15.0,0.9518943274520963,pacs_mondrian_q0.90,4,316,243,251
0.8783783783783784,11.153153153153154,13.900000000000006,0.8987076362076364,top1_cp,5,334,254,222
0.9009009009009009,12.076576576576576,14.0,0.9168178893178894,mccp10,5,334,254,222
0.9099099099099099,12.31081081081081,16.0,0.9221932646932648,global_panel,5,334,254,222
0.9279279279279279,12.31081081081081,13.0,0.9246342771342771,pacs_mondrian_q0.90,5,334,254,222
0.8628158844765343,11.104693140794224,14.0,0.8772838232766029,top1_cp,6,302,231,277
0.8664259927797834,11.288808664259928,14.0,0.8793536187037991,mccp10,6,302,231,277
0.8808664259927798,11.931407942238268,14.0,0.8926946879834966,global_panel,6,302,231,277
0.8989169675090253,11.833935018050541,12.0,0.9011096785284513,pacs_mondrian_q0.90,6,302,231,277
0.8823529411764706,12.16470588235294,15.0,0.8998029878618115,top1_cp,7,306,249,255
0.8980392156862745,12.72549019607843,16.0,0.9139747899159664,mccp10,7,306,249,255
