endpoint,method,success,mean_size,full_set,oracle_size,excess_size,clear_full,amb_full,runs
Atelectasis,global_panel,0.8893617021276595,1.6170212765957446,0.6170212765957447,1.2425531914893617,0.37446808510638296,0.5786516853932584,0.7368421052631579,1
Atelectasis,mccp10,0.8340425531914893,1.4680851063829787,0.46808510638297873,1.2425531914893617,0.225531914893617,0.4438202247191011,0.543859649122807,1
Atelectasis,pacs_cv,1.0,2.0,1.0,1.2425531914893617,0.7574468085106383,1.0,1.0,1
Atelectasis,top1_cp,0.8297872340425532,1.4595744680851064,0.4595744680851064,1.2425531914893617,0.2170212765957447,0.43820224719101125,0.5263157894736842,1
Cardiomegaly,global_panel,0.8153846153846154,1.0384615384615385,0.038461538461538464,1.1,-0.06153846153846154,0.038461538461538464,0.038461538461538464,1
Cardiomegaly,mccp10,0.8269230769230769,1.0653846153846154,0.06538461538461539,1.1,-0.03461538461538462,0.06837606837606838,0.038461538461538464,1
Cardiomegaly,pacs_cv,1.0,2.0,1.0,1.1,0.9,1.0,1.0,1
Cardiomegaly,top1_cp,0.7615384615384615,0.9346153846153846,0.0,1.1,-0.16538461538461538,0.0,0.0,1
Consolidation,global_panel,0.8611111111111112,1.4563492063492063,0.45634920634920634,1.3293650793650793,0.12698412698412698,0.34911242603550297,0.6746987951807228,1
Consolidation,mccp10,0.8492063492063492,1.4246031746031746,0.4246031746031746,1.3293650793650793,0.09523809523809523,0.31952662721893493,0.6385542168674698,1
Consolidation,pacs_cv,1.0,2.0,1.0,1.3293650793650793,0.6706349206349206,1.0,1.0,1
Consolidation,top1_cp,0.8174603174603174,1.3412698412698412,0.3412698412698413,1.3293650793650793,0.011904761904761904,0.23668639053254437,0.5542168674698795,1
Effusion,global_panel,0.91796875,1.5859375,0.5859375,1.1328125,0.453125,0.5585585585585585,0.7647058823529411,1
Effusion,mccp10,0.8828125,1.46875,0.46875,1.1328125,0.3359375,0.44144144144144143,0.6470588235294118,1
Effusion,pacs_cv,1.0,2.0,1.0,1.1328125,0.8671875,1.0,1.0,1
Effusion,top1_cp,0.8828125,1.46484375,0.46484375,1.1328125,0.33203125,0.4369369369369369,0.6470588235294118,1
Nodule,global_panel,0.8823529411764706,1.4431372549019608,0.44313725490196076,1.1098039215686275,0.3333333333333333,0.43171806167400884,0.5357142857142857,1
Nodule,mccp10,0.8588235294117647,1.3372549019607842,0.33725490196078434,1.1098039215686275,0.22745098039215686,0.32158590308370044,0.4642857142857143,1
Nodule,pacs_cv,1.0,2.0,1.0,1.1098039215686275,0.8901960784313725,1.0,1.0,1
Nodule,top1_cp,0.8470588235294118,1.2588235294117647,0.25882352941176473,1.1098039215686275,0.14901960784313725,0.23788546255506607,0.42857142857142855,1
Pleural Thickening,global_panel,0.896,1.144,0.144,1.136,0.008,0.12037037037037036,0.29411764705882354,1
Pleural Thickening,mccp10,0.88,1.076,0.076,1.136,-0.06,0.05555555555555555,0.20588235294117646,1
Pleural Thickening,pacs_cv,1.0,2.0,1.0,1.136,0.864,1.0,1.0,1
Pleural Thickening,top1_cp,0.832,0.968,0.0,1.136,-0.168,0.0,0.0,1
