regime,m,rep,threshold,certified,lower_fraction,tested_thresholds,latent_mass_success,set_size,full_set,singleton
mixed,3,0,1.0,True,0.9653381455356244,2,1.0,4.859666666666667,0.8596666666666667,0.0
mixed,3,1,1.0,True,0.9527399000038731,2,1.0,4.869,0.869,0.0
mixed,3,2,1.0,True,0.9745630541972687,2,1.0,4.858666666666666,0.8586666666666667,0.0
mixed,3,3,1.0,True,0.9581412270485452,2,1.0,4.863,0.863,0.0
mixed,3,4,1.0,True,0.9654832050235927,2,1.0,4.8646666666666665,0.8646666666666667,0.0
mixed,3,5,1.0,True,0.9745630541972687,2,1.0,4.86,0.86,0.0
mixed,3,6,1.0,True,0.9527399000038731,2,1.0,4.8533333333333335,0.8533333333333334,0.0
mixed,3,7,1.0,True,0.9796881756834409,2,1.0,4.854333333333333,0.8543333333333333,0.0
mixed,3,8,1.0,True,0.9654832050235927,2,1.0,4.852666666666667,0.8526666666666667,0.0
mixed,3,9,1.0,True,0.9581412270485452,2,1.0,4.855666666666667,0.8556666666666667,0.0
mixed,3,10,1.0,True,0.9616973258142215,2,1.0,4.863333333333333,0.8633333333333333,0.0
mixed,3,11,1.0,True,0.9610188014501925,2,1.0,4.8646666666666665,0.8646666666666667,0.0
mixed,3,12,1.0,True,0.9581412270485452,2,1.0,4.857,0.857,0.0
mixed,3,13,1.0,True,0.9654832050235927,2,1.0,4.852,0.852,0.0
mixed,3,14,1.0,True,0.9654832050235927,2,1.0,4.853,0.853,0.0
mixed,3,15,1.0,True,0.9698286943120603,2,1.0,4.862666666666667,0.8626666666666667,0.0
mixed,3,16,1.0,True,0.9581412270485452,2,1.0,4.862666666666667,0.8626666666666667,0.0
mixed,3,17,1.0,True,0.9796881756834409,2,1.0,4.860333333333333,0.8603333333333333,0.0
mixed,3,18,1.0,True,0.9610188014501925,2,1.0,4.855666666666667,0.8556666666666667,0.0
mixed,3,19,1.0,True,0.9610188014501925,2,1.0,4.859,0.859,0.0
mixed,3,20,1.0,True,0.9745630541972687,2,1.0,4.846333333333333,0.8463333333333334,0.0
mixed,3,21,1.0,True,0.9654832050235927,2,1.0,4.867666666666667,0.8676666666666667,0.0
mixed,3,22,1.0,True,0.9581412270485452,2,1.0,4.8646666666666665,0.8646666666666667,0.0
mixed,3,23,1.0,True,0.9610188014501925,2,1.0,4.860666666666667,0.8606666666666667,0.0
mixed,3,24,1.0,True,0.9745630541972687,2,1.0,4.859666666666667,0.8596666666666667,0.0
mixed,3,25,1.0,True,0.9460874893058594,2,1.0,4.855333333333333,0.8553333333333333,0.0
mixed,3,26,1.0,True,0.9616973258142215,2,1.0,4.858666666666666,0.8586666666666667,0.0
mixed,3,27,1.0,True,0.9616973258142215,2,1.0,4.863333333333333,0.8633333333333333,0.0
mixed,3,28,1.0,True,0.9698286943120603,2,1.0,4.855333333333333,0.8553333333333333,0.0
mixed,3,29,1.0,True,0.9654832050235927,2,1.0,4.860666666666667,0.8606666666666667,0.0
mixed,3,30,1.0,True,0.9610188014501925,2,1.0,4.851666666666667,0.8516666666666667,0.0
mixed,3,31,1.0,True,0.9698286943120603,2,1.0,4.863,0.863,0.0
mixed,3,32,1.0,True,0.9568284351277143,2,1.0,4.855333333333333,0.8553333333333333,0.0
mixed,3,33,1.0,True,0.9796881756834409,2,1.0,4.865,0.865,0.0
mixed,3,34,1.0,True,0.9698286943120603,2,1.0,4.857333333333333,0.8573333333333333,0.0
mixed,3,35,1.0,True,0.9653381455356244,2,1.0,4.857333333333333,0.8573333333333333,0.0
mixed,3,36,1.0,True,0.9698286943120603,2,1.0,4.853666666666666,0.8536666666666667,0.0
mixed,3,37,1.0,True,0.9460874893058594,2,1.0,4.867,0.867,0.0
mixed,3,38,1.0,True,0.9745630541972687,2,1.0,4.871,0.871,0.0
mixed,3,39,1.0,True,0.9581412270485452,2,1.0,4.863666666666667,0.8636666666666667,0.0
mixed,5,0,1.0,True,0.9441314757525217,2,1.0,4.866,0.866,0.0
mixed,5,1,1.0,True,0.9713625845580152,2,1.0,4.857333333333333,0.8573333333333333,0.0
mixed,5,2,1.0,True,0.9521106456502377,2,1.0,4.857333333333333,0.8573333333333333,0.0
mixed,5,3,1.0,True,0.9486111763083727,2,1.0,4.846333333333333,0.8463333333333334,0.0
mixed,5,4,1.0,True,0.9521106456502377,2,1.0,4.863666666666667,0.8636666666666667,0.0
mixed,5,5,1.0,True,0.95939945185913,2,1.0,4.866666666666666,0.8666666666666667,0.0
mixed,5,6,1.0,True,0.9632514179433029,2,1.0,4.859333333333334,0.8593333333333333,0.0
mixed,5,7,1.0,True,0.9483579254112016,2,1.0,4.8646666666666665,0.8646666666666667,0.0
mixed,5,8,1.0,True,0.9632514179433029,2,1.0,4.8613333333333335,0.8613333333333333,0.0
mixed,5,9,1.0,True,0.9521106456502377,2,1.0,4.8533333333333335,0.8533333333333334,0.0
mixed,5,10,1.0,True,0.9556636070238915,2,1.0,4.857333333333333,0.8573333333333333,0.0
mixed,5,11,1.0,True,0.9486111763083727,2,1.0,4.857666666666667,0.8576666666666667,0.0
mixed,5,12,1.0,True,0.9418047905532996,2,1.0,4.851,0.851,0.0
mixed,5,13,1.0,True,0.955674278066596,2,1.0,4.85,0.85,0.0
mixed,5,14,1.0,True,0.9521106456502377,2,1.0,4.858333333333333,0.8583333333333333,0.0
