method,latent_mass_success,mean_mass,mean_set_size,singleton,full_set,seed,m,ncal,ntest,k,q_mass,alpha,delta,regime,sigma
majority_cp,0.9566666666666667,0.8681643056086565,2.8273333333333333,0.13566666666666666,0.0,2026084500,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
random_rater_cp,0.977,0.9115674703093654,3.0966666666666667,0.08333333333333333,0.0,2026084500,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
naive_panel_cp,0.9466666666666667,0.8485868924604136,2.719,0.156,0.0,2026084500,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
majority_cp,0.9646666666666667,0.8884692211860786,2.9276666666666666,0.115,0.0,2026084501,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
random_rater_cp,0.9653333333333334,0.889582355061523,2.934,0.11433333333333333,0.0,2026084501,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
naive_panel_cp,0.947,0.8554671595666259,2.75,0.152,0.0,2026084501,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
majority_cp,0.96,0.8834437248913355,2.8876666666666666,0.117,0.0,2026084502,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
random_rater_cp,0.96,0.8834437248913355,2.8876666666666666,0.117,0.0,2026084502,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
naive_panel_cp,0.9413333333333334,0.8519814014292875,2.7336666666666667,0.15266666666666667,0.0,2026084502,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
majority_cp,0.9563333333333334,0.8672421353343996,2.8393333333333333,0.13366666666666666,0.0,2026084503,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
random_rater_cp,0.9763333333333334,0.9041724651438787,3.0476666666666667,0.09233333333333334,0.0,2026084503,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
naive_panel_cp,0.948,0.8524565280112507,2.762,0.148,0.0,2026084503,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
majority_cp,0.968,0.8915445820566811,2.974666666666667,0.10966666666666666,0.0,2026084504,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
random_rater_cp,0.9723333333333334,0.8991351784614947,3.0143333333333335,0.10366666666666667,0.0,2026084504,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
naive_panel_cp,0.9466666666666667,0.851724846455593,2.7516666666666665,0.153,0.0,2026084504,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
majority_cp,0.955,0.8672991046201844,2.849,0.13533333333333333,0.0,2026084505,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
random_rater_cp,0.964,0.8867836877867449,2.977,0.11166666666666666,0.0,2026084505,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
naive_panel_cp,0.931,0.8255892371357392,2.626333333333333,0.174,0.0,2026084505,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
majority_cp,0.944,0.8541082893132131,2.759333333333333,0.14933333333333335,0.0,2026084506,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
random_rater_cp,0.9553333333333334,0.8768334457157607,2.8793333333333333,0.12533333333333332,0.0,2026084506,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
naive_panel_cp,0.93,0.8254092378511941,2.6233333333333335,0.174,0.0,2026084506,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
majority_cp,0.959,0.880551714677627,2.921,0.12,0.0,2026084507,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
random_rater_cp,0.9786666666666667,0.9129017178720746,3.117,0.07633333333333334,0.0,2026084507,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
naive_panel_cp,0.929,0.8277628506012946,2.6493333333333333,0.16466666666666666,0.0,2026084507,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
majority_cp,0.9603333333333334,0.8757333491149429,2.881,0.12566666666666668,0.0,2026084508,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
random_rater_cp,0.978,0.9050709758179093,3.0476666666666667,0.096,0.0,2026084508,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
naive_panel_cp,0.941,0.8391664551253959,2.691,0.15666666666666668,0.0,2026084508,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
majority_cp,0.9553333333333334,0.8768419845787839,2.8633333333333333,0.13066666666666665,0.0,2026084509,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
random_rater_cp,0.963,0.888055111564781,2.9243333333333332,0.11533333333333333,0.0,2026084509,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
naive_panel_cp,0.9426666666666667,0.8550476884768102,2.752,0.14566666666666667,0.0,2026084509,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
majority_cp,0.961,0.8854508053256318,2.8913333333333333,0.119,0.0,2026084510,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
random_rater_cp,0.96,0.8840452807427165,2.883,0.12133333333333333,0.0,2026084510,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
naive_panel_cp,0.9356666666666666,0.8420610714279118,2.664,0.16066666666666668,0.0,2026084510,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
majority_cp,0.9756666666666667,0.9007941302769911,3.022,0.09866666666666667,0.0,2026084511,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
random_rater_cp,0.983,0.9124722147137163,3.0883333333333334,0.08833333333333333,0.0,2026084511,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
naive_panel_cp,0.965,0.8824140585943023,2.904333333333333,0.12566666666666668,0.0,2026084511,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
majority_cp,0.9503333333333334,0.8638618758062819,2.8143333333333334,0.14,0.0,2026084512,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
random_rater_cp,0.9493333333333334,0.8628970678423779,2.808,0.14166666666666666,0.0,2026084512,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
naive_panel_cp,0.9283333333333333,0.8224327871803769,2.5986666666666665,0.18066666666666667,0.0,2026084512,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
majority_cp,0.9713333333333334,0.8970387121260698,2.997,0.101,0.0,2026084513,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
random_rater_cp,0.977,0.9058306627465432,3.044,0.09466666666666666,0.0,2026084513,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
naive_panel_cp,0.96,0.8738757099932124,2.8666666666666667,0.13,0.0,2026084513,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
majority_cp,0.965,0.8904219436944807,2.909666666666667,0.125,0.0,2026084514,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
random_rater_cp,0.9803333333333333,0.9187332996635775,3.1086666666666667,0.077,0.0,2026084514,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
naive_panel_cp,0.9336666666666666,0.8393553671597475,2.6686666666666667,0.16566666666666666,0.0,2026084514,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
majority_cp,0.957,0.8772527701834703,2.865,0.13066666666666665,0.0,2026084515,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
random_rater_cp,0.956,0.8757279681481006,2.858,0.13133333333333333,0.0,2026084515,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
naive_panel_cp,0.9343333333333333,0.8384244167717023,2.663666666666667,0.16666666666666666,0.0,2026084515,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
majority_cp,0.95,0.8622326656942987,2.8133333333333335,0.14633333333333334,0.0,2026084516,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
random_rater_cp,0.9636666666666667,0.8844689518733194,2.922,0.12366666666666666,0.0,2026084516,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
naive_panel_cp,0.941,0.8486597757570984,2.7483333333333335,0.15866666666666668,0.0,2026084516,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
majority_cp,0.9563333333333334,0.8721966026196742,2.8263333333333334,0.135,0.0,2026084517,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
random_rater_cp,0.9753333333333334,0.9083340933216969,3.039,0.085,0.0,2026084517,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
naive_panel_cp,0.9123333333333333,0.8070113562578695,2.526,0.19166666666666668,0.0,2026084517,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
majority_cp,0.962,0.885367342481815,2.933666666666667,0.123,0.0,2026084518,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
random_rater_cp,0.9786666666666667,0.9114483645138829,3.0933333333333333,0.08733333333333333,0.0,2026084518,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
naive_panel_cp,0.9436666666666667,0.8518572063955208,2.7516666666666665,0.15666666666666668,0.0,2026084518,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
majority_cp,0.9746666666666667,0.8999610006824804,3.0116666666666667,0.10433333333333333,0.0,2026084519,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
random_rater_cp,0.9746666666666667,0.8997421409958203,3.0096666666666665,0.10533333333333333,0.0,2026084519,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
naive_panel_cp,0.9356666666666666,0.8311200342189289,2.6553333333333335,0.16866666666666666,0.0,2026084519,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
majority_cp,0.9446666666666667,0.8490422756056102,2.726,0.16166666666666665,0.0,2026084520,3,300,3000,5,0.5,0.1,0.05,mixed,0.8
