dataset,q,metric,n_split_units,global_mean,pacs_mean,paired_delta_mean,paired_delta_median,paired_delta_sd,bootstrap95_lo,bootstrap95_hi,relative_delta_pct,paired_dz,paired_t_p,wilcoxon_p,n_pacs_gt_global,n_pacs_lt_global,n_ties
Dermatology,0.9,success,12,0.9047720797720799,0.903988603988604,-0.0007834757834758085,-0.0012820512820512775,0.00638256992573184,-0.004309116809116785,0.0025997150997150724,-0.08659371801936826,-0.12275240108489267,0.6788707815401344,0.353515625,4,7,1
Dermatology,0.9,mean_size,12,53.54245014245015,54.640847578347575,1.0983974358974358,0.37008547008547055,2.6579608311990732,-0.24127136752136655,2.608206018518515,2.0514515734247127,0.41324816491066235,0.18007122532424816,0.38037109375,6,6,0
Dermatology,0.9,p90_size,12,98.81666666666668,85.06666666666666,-13.750000000000009,-16.000000000000014,6.725190095319378,-17.233333333333345,-9.958229166666683,-13.914656771799635,-2.0445518721574554,2.0387191203842757e-05,0.00048828125,0,12,0
Dermatology,0.8,success,6,0.9019943019943021,0.9091168091168091,0.007122507122507116,0.008547008547008517,0.005907131053850036,0.0025641025641025736,0.011111111111111108,0.7896399241945665,1.2057472667488807,0.031757842518734945,0.0625,5,1,0
Dermatology,0.8,mean_size,6,26.74344729344729,30.316809116809114,3.573361823361824,3.76923076923077,1.035070283663205,2.7183048433048445,4.192592592592593,13.361635035874276,3.452289066511871,0.0003796873492511954,0.03125,6,0,0
Dermatology,0.8,p90_size,6,47.95000000000001,48.70000000000001,0.75,2.200000000000003,3.6357942736079023,-2.25,2.3833333333333306,1.5641293013555786,0.2062822986009474,0.634837119199699,0.40625,5,1,0
Dermatology,0.7,success,6,0.8914529914529915,0.9066951566951568,0.015242165242165243,0.015170940170940117,0.002615812861797854,0.01331908831908831,0.01716524216524218,1.7098114413550656,5.82693260086246,3.0419480946070395e-05,0.03125,6,0,0
Dermatology,0.7,mean_size,6,16.428846153846152,20.65776353276353,4.2289173789173775,4.349145299145297,0.5527823397977241,3.80042735042735,4.602279202279201,25.740805771240037,7.650239659365451,7.968748200563063e-06,0.03125,6,0,0
Dermatology,0.7,p90_size,6,28.775000000000002,34.15,5.375,5.75,2.2688653551940865,3.700000000000003,6.974999999999999,18.679409209383145,2.369025551778591,0.0021426554831760454,0.03125,6,0,0
NIH,0.7,success,30,0.9104263793248926,0.9322532950091929,0.0218269156843001,0.02088419951168463,0.021850782847880067,0.01427966914383781,0.029568863690213193,2.397438846234375,0.9989077204351843,6.851840242085521e-06,4.5743158685492934e-05,24,2,4
NIH,0.7,mean_size,30,12.538772845205674,12.568791525887823,0.03001868068214524,-0.004115226337448874,0.5987717201195106,-0.1846122958384401,0.23869531690684548,0.23940684668853524,0.050133764961634665,0.7855749661470599,0.854172545006435,14,15,1
NIH,0.7,p90_size,30,15.2,13.456666666666669,-1.7433333333333327,-2.0,0.984599807845398,-2.096666666666665,-1.4,-11.469298245614032,-1.7706009278513601,1.3172849536089594e-10,4.207310028280956e-06,0,27,3
NIH,0.8,success,30,0.9133949631376501,0.94314960725624,0.0297546441185899,0.029416438598040218,0.030546311197669547,0.01888940438229161,0.0404361518236951,3.257587935056942,0.9740830546131526,9.99160456245674e-06,8.686999312548624e-05,22,7,1
NIH,0.8,mean_size,30,13.841450125999481,13.878340549630042,0.03689042363056263,0.09751739405439608,0.46050181687795566,-0.12810180523974077,0.19846664588177165,0.26652137814135857,0.08010918150262043,0.6640755377146202,0.6263462882488966,17,13,0
NIH,0.8,p90_size,30,16.0,15.033333333333333,-0.9666666666666667,-1.0,0.6149478998583782,-1.2,-0.7666666666666667,-6.041666666666667,-1.5719488868720244,1.7539209532346019e-09,5.010331956390443e-06,0,24,6
NIH,0.9,success,30,0.9111985718506722,0.9626292055079236,0.0514306336572513,0.05690630335799657,0.026581692733575565,0.04177376777929714,0.06047809125109426,5.644283830778411,1.9348140907628815,1.7410299868827572e-11,2.848903312076321e-06,28,1,1
NIH,0.9,mean_size,30,14.591812864451185,15.013394031126015,0.42158116667482853,0.43004707112970664,0.35220068707508867,0.29858594862825766,0.5464736596684195,2.889162372016787,1.1969913238271113,3.506135108531841e-07,4.7124922275543213e-07,26,4,0
NIH,0.9,p90_size,30,16.0,15.933333333333334,-0.06666666666666667,0.0,0.2537081317024625,-0.16666666666666666,0.0,-0.4166666666666667,-0.26276913640612176,0.16078820842587663,0.15729920705028502,0,2,28
CIFAR-10H,0.7,success,20,0.8990499999999999,0.9708833333333334,0.07183333333333339,0.07166666666666682,0.006978245225896547,0.06893333333333342,0.07486666666666672,7.989915280944708,10.2938963891319,5.9038924743930495e-21,1.9073486328125e-06,20,0,0
CIFAR-10H,0.7,mean_size,20,1.0881999999999998,1.7784833333333334,0.6902833333333331,0.6878333333333332,0.07590732076044601,0.6577658333333332,0.72213375,63.4334987441034,9.093764954658074,6.084318142545375e-20,8.844915021211901e-05,20,0,0
CIFAR-10H,0.7,p90_size,20,1.15,3.05,1.9,2.0,0.4472135954999579,1.7,2.1,165.2173913043478,4.2485291572496005,8.074624172632276e-14,2.9580022293664515e-05,20,0,0
