dataset,q,metric,n_split_units,global_mean,pacs_mean,delta,ci_lo,ci_hi,n_lower,n_higher
Dermatology,0.9,success,12,0.9047720797720799,0.9024572649572647,-0.002314814814814825,-0.006339031339031316,0.001709401709401694,7,5
Dermatology,0.9,mean_size,12,53.54245014245015,52.33917378917379,-1.203276353276354,-2.5510354344729347,0.23951923076922868,8,4
Dermatology,0.9,p90_size,12,98.81666666666668,80.27499999999999,-18.541666666666675,-21.566770833333347,-15.404062500000016,12,0
NIH,0.7,success,30,0.9104263793248926,0.9298191646983375,0.019392785373444972,0.01240299942265175,0.02633869449155424,5,22
NIH,0.7,mean_size,30,12.538772845205674,12.530140962780305,-0.008631882425370918,-0.23187394027366418,0.21232085760386077,15,15
NIH,0.7,p90_size,30,15.2,13.5,-1.7,-2.033333333333333,-1.3666666666666667,27,0
NIH,0.8,success,30,0.9133949631376501,0.9393791306952136,0.02598416755756351,0.015374144532195308,0.036278072645683425,7,22
NIH,0.8,mean_size,30,13.841450125999481,13.749670258449006,-0.09177986755047526,-0.25964610313170805,0.07113729326248922,15,15
NIH,0.8,p90_size,30,16.0,15.1,-0.9,-1.1333333333333333,-0.6666666666666666,22,0
NIH,0.9,success,30,0.9111985718506722,0.9600725332595529,0.04887396140888059,0.03917697706407704,0.05793541667159483,1,27
NIH,0.9,mean_size,30,14.591812864451185,14.930749243605044,0.3389363791538559,0.2019471785297225,0.468586408373019,6,24
NIH,0.9,p90_size,30,16.0,15.966666666666667,-0.03333333333333333,-0.1,0.0,1,0
CIFAR-10H,0.7,success,20,0.8990499999999999,0.9704499999999999,0.07140000000000009,0.06801666666666678,0.07498333333333337,0,20
CIFAR-10H,0.7,mean_size,20,1.0881999999999998,1.7792166666666667,0.6910166666666665,0.6368329166666666,0.7468999999999999,0,20
CIFAR-10H,0.7,p90_size,20,1.15,3.1,1.95,1.75,2.15,0,20
