dataset,q,metric,n_split_units,global_mean,pacs_mean,delta,ci_lo,ci_hi,relative_delta_pct,n_pacs_lower,n_pacs_higher,n_ties
Dermatology,0.7,success,6,0.8914529914529915,0.9026353276353277,0.011182336182336198,0.010470085470085507,0.011965811965811998,1.254394375199746,0,6,0
Dermatology,0.7,mean_size,6,16.428846153846152,19.107193732193732,2.6783475783475788,2.427777777777779,2.937037037037039,16.30271263889431,0,6,0
Dermatology,0.7,p90_size,6,28.775000000000002,29.96666666666667,1.1916666666666675,0.7166666666666686,1.6666666666666667,4.141326382855491,0,6,0
Dermatology,0.8,success,6,0.9019943019943021,0.908048433048433,0.006054131054131107,0.004202279202279187,0.0076210826210826865,0.671193935565388,0,6,0
Dermatology,0.8,mean_size,6,26.74344729344729,29.121866096866096,2.378418803418802,1.5761396011396005,3.0334757834757813,8.893463798145293,0,6,0
Dermatology,0.8,p90_size,6,47.95000000000001,46.60833333333334,-1.3416666666666686,-3.550000000000002,0.6999999999999981,-2.7980535279805387,4,2,0
Dermatology,0.9,success,12,0.9047720797720799,0.9024572649572647,-0.002314814814814825,-0.006339031339031326,0.001709401709401694,-0.2558450759663083,7,5,0
Dermatology,0.9,mean_size,12,53.54245014245015,52.33917378917379,-1.203276353276354,-2.5301335470085466,0.250251068376067,-2.2473315099981916,8,4,0
Dermatology,0.9,p90_size,12,98.81666666666668,80.27499999999999,-18.541666666666675,-21.558333333333348,-15.375000000000012,-18.7637038286389,12,0,0
NIH,0.7,success,30,0.9104263793248926,0.9298191646983375,0.019392785373444972,0.01250869330755709,0.026342032831720673,2.1300772708085725,5,22,3
NIH,0.7,mean_size,30,12.538772845205674,12.530140962780305,-0.008631882425370918,-0.2324290765587476,0.22047411552568724,-0.06884152485999781,15,15,0
NIH,0.7,p90_size,30,15.2,13.5,-1.7,-2.033333333333333,-1.3666666666666667,-11.18421052631579,27,0,3
NIH,0.8,success,30,0.9133949631376501,0.9393791306952136,0.02598416755756351,0.01542514087048179,0.03647054959105516,2.8447898889549332,7,22,1
NIH,0.8,mean_size,30,13.841450125999481,13.749670258449006,-0.09177986755047526,-0.2622932401217816,0.07117597750316461,-0.6630798559038112,15,15,0
NIH,0.8,p90_size,30,16.0,15.1,-0.9,-1.1333333333333333,-0.6666666666666666,-5.625,22,0,8
NIH,0.9,success,30,0.9111985718506722,0.9600725332595529,0.04887396140888059,0.03899505445677584,0.057997285346466566,5.363700396239217,1,27,2
NIH,0.9,mean_size,30,14.591812864451185,14.930749243605044,0.3389363791538559,0.2019396741420693,0.46638549019169817,2.3227845799720903,6,24,0
NIH,0.9,p90_size,30,16.0,15.966666666666667,-0.03333333333333333,-0.1,0.0,-0.20833333333333334,1,0,29
CIFAR-10H,0.7,success,20,0.8990499999999999,0.9704499999999999,0.07140000000000009,0.06808333333333343,0.07490000000000005,7.941716256048061,0,20,0
CIFAR-10H,0.7,mean_size,20,1.0881999999999998,1.7792166666666667,0.6910166666666665,0.6375500000000001,0.7463833333333331,63.500888317098564,0,20,0
CIFAR-10H,0.7,p90_size,20,1.15,3.1,1.95,1.75,2.15,169.56521739130437,0,20,0
