dataset,q,rep,global_success,pacs_success,delta_success,global_mean_size,pacs_mean_size,delta_mean_size,global_p90_size,pacs_p90_size,delta_p90_size
Dermatology,0.9,0,0.8829059829059829,0.8944444444444445,0.011538461538461608,48.00726495726496,54.593589743589746,6.586324786324788,89.65,84.20000000000002,-5.449999999999989
Dermatology,0.9,1,0.9175213675213675,0.9158119658119658,-0.0017094017094017033,54.93034188034188,56.18547008547009,1.2551282051282087,101.25,83.65,-17.599999999999994
Dermatology,0.9,2,0.9025641025641027,0.8995726495726495,-0.002991452991453203,52.39700854700855,53.1474358974359,0.7504273504273513,97.35000000000002,82.4,-14.950000000000017
Dermatology,0.9,3,0.8897435897435898,0.8905982905982905,0.0008547008547007406,51.4482905982906,54.52051282051282,3.072222222222223,94.55000000000001,89.75,-4.800000000000011
Dermatology,0.9,4,0.9141025641025642,0.9149572649572649,0.0008547008547007406,53.9,55.89572649572649,1.995726495726494,101.10000000000002,91.95000000000002,-9.150000000000006
Dermatology,0.9,5,0.9098290598290598,0.9076923076923078,-0.002136752136752018,56.300427350427356,54.81410256410257,-1.4863247863247864,102.4,79.15,-23.25
Dermatology,0.9,6,0.9145299145299146,0.9102564102564102,-0.004273504273504369,58.77863247863248,58.08418803418803,-0.69444444444445,107.75000000000003,91.0,-16.75000000000003
Dermatology,0.9,7,0.9158119658119658,0.9128205128205128,-0.002991452991452981,55.19059829059829,54.37948717948718,-0.81111111111111,101.20000000000002,82.75,-18.450000000000017
Dermatology,0.9,8,0.885042735042735,0.885042735042735,0.0,49.61495726495727,54.71495726495726,5.099999999999994,89.05000000000001,86.9,-2.1500000000000057
Dermatology,0.9,9,0.9136752136752135,0.8987179487179487,-0.014957264957264793,54.03119658119658,52.208547008547015,-1.822649572649567,102.10000000000002,86.4,-15.700000000000017
Dermatology,0.9,10,0.9145299145299146,0.9136752136752138,-0.0008547008547008517,56.6448717948718,55.89059829059829,-0.754273504273506,105.95000000000002,85.5,-20.450000000000017
