rep,dataset,q,global_success,pacs_success,global_mean_size,pacs_mean_size,global_p90_size,pacs_p90_size
0,Dermatology,0.7,0.879059829059829,0.8893162393162393,15.541452991452992,18.049145299145298,27.400000000000006,29.400000000000006
1,Dermatology,0.7,0.8931623931623932,0.9051282051282051,17.422649572649572,19.732905982905983,30.0,31.25
2,Dermatology,0.7,0.8807692307692307,0.8914529914529915,15.55982905982906,18.546153846153846,26.75,28.5
3,Dermatology,0.7,0.908974358974359,0.9192307692307693,16.95982905982906,19.814529914529913,30.25,30.75
4,Dermatology,0.7,0.891025641025641,0.9038461538461539,16.18376068376068,18.47564102564103,28.5,29.75
5,Dermatology,0.7,0.8957264957264958,0.9068376068376068,16.905555555555555,20.024786324786326,29.75,30.150000000000006
0,Dermatology,0.8,0.9021367521367522,0.908974358974359,25.48846153846154,28.88162393162393,45.55000000000001,45.05000000000001
1,Dermatology,0.8,0.8987179487179486,0.9008547008547009,27.704700854700857,28.46196581196581,49.650000000000006,43.900000000000006
2,Dermatology,0.8,0.9085470085470084,0.9162393162393163,27.394871794871793,29.954700854700853,48.80000000000001,49.75
3,Dermatology,0.8,0.9004273504273503,0.9076923076923077,26.246581196581197,29.202991452991448,47.5,45.900000000000006
4,Dermatology,0.8,0.9012820512820513,0.9094017094017095,27.213675213675213,28.875641025641027,49.150000000000006,45.75
5,Dermatology,0.8,0.9008547008547009,0.905128205128205,26.412393162393162,29.354273504273504,47.05000000000001,49.30000000000001
0,Dermatology,0.9,0.8829059829059829,0.8935897435897435,48.00726495726496,51.37948717948718,89.65,77.65
1,Dermatology,0.9,0.9175213675213675,0.9123931623931624,54.93034188034188,52.54957264957265,101.25,76.05000000000001
2,Dermatology,0.9,0.9025641025641027,0.8974358974358975,52.39700854700855,50.36880341880342,97.35000000000002,74.15
3,Dermatology,0.9,0.8897435897435898,0.891025641025641,51.4482905982906,52.324786324786324,94.55000000000001,78.25
4,Dermatology,0.9,0.9141025641025642,0.9188034188034189,53.9,55.9991452991453,101.10000000000002,92.25
5,Dermatology,0.9,0.9098290598290598,0.9042735042735043,56.300427350427356,52.687179487179485,102.4,78.75
6,Dermatology,0.9,0.9145299145299146,0.908974358974359,58.77863247863248,56.31709401709402,107.75000000000003,84.15
7,Dermatology,0.9,0.9158119658119658,0.9038461538461539,55.19059829059829,50.78888888888889,101.20000000000002,86.80000000000001
8,Dermatology,0.9,0.885042735042735,0.8884615384615384,49.61495726495727,51.02863247863248,89.05000000000001,76.15
9,Dermatology,0.9,0.9136752136752135,0.8987179487179487,54.03119658119658,50.99529914529914,102.10000000000002,79.80000000000001
10,Dermatology,0.9,0.9145299145299146,0.9098290598290599,56.6448717948718,52.79529914529915,105.95000000000002,81.75
11,Dermatology,0.9,0.897008547008547,0.9021367521367522,51.26581196581197,50.83589743589744,93.45000000000002,77.55000000000001
0,NIH,0.7,0.9414225941422594,0.9665271966527196,12.00836820083682,12.635983263598328,14.0,13.0
1,NIH,0.7,0.9196428571428572,0.90625,13.044642857142858,11.875,16.0,13.0
2,NIH,0.7,0.9037656903765692,0.9121338912133892,11.539748953974897,11.631799163179917,14.0,12.0
3,NIH,0.7,0.921161825726141,0.966804979253112,13.49792531120332,13.394190871369297,16.0,14.0
4,NIH,0.7,0.9123505976095616,0.9641434262948207,12.9800796812749,13.326693227091631,16.0,15.0
5,NIH,0.7,0.90990990990991,0.927927927927928,12.31081081081081,12.333333333333334,16.0,14.0
6,NIH,0.7,0.8808664259927798,0.8880866425992779,11.931407942238268,11.530685920577618,14.0,12.0
7,NIH,0.7,0.9137254901960784,0.9176470588235294,12.909803921568628,12.27843137254902,16.0,13.0
8,NIH,0.7,0.9294605809128632,0.925311203319502,12.257261410788384,11.809128630705397,16.0,13.0
9,NIH,0.7,0.9511111111111112,0.9422222222222222,12.995555555555557,12.195555555555556,16.0,13.0
10,NIH,0.7,0.8650793650793651,0.8650793650793651,11.214285714285714,11.095238095238097,14.0,12.0
11,NIH,0.7,0.9465648854961832,0.9694656488549618,13.740458015267176,13.129770992366412,16.0,14.0
12,NIH,0.7,0.8611111111111112,0.9166666666666666,10.88888888888889,11.845238095238097,13.0,13.0
13,NIH,0.7,0.9190283400809716,0.9109311740890688,13.279352226720649,12.522267206477732,16.0,14.0
14,NIH,0.7,0.907563025210084,0.9201680672268908,12.302521008403362,12.205882352941176,16.0,14.0
15,NIH,0.7,0.8847736625514403,0.9300411522633744,13.197530864197532,12.946502057613168,16.0,14.0
16,NIH,0.7,0.8908296943231441,0.9126637554585152,12.034934497816591,12.550218340611352,14.0,13.0
17,NIH,0.7,0.9375,0.9375,13.383928571428571,12.669642857142858,16.0,13.0
18,NIH,0.7,0.9327731092436976,0.9327731092436976,13.470588235294118,13.134453781512605,16.0,14.0
19,NIH,0.7,0.8790322580645161,0.907258064516129,11.96774193548387,12.415322580645162,14.0,13.0
20,NIH,0.7,0.9130434782608696,0.9391304347826088,12.173913043478262,12.621739130434785,16.0,13.0
21,NIH,0.7,0.9353448275862069,0.9655172413793104,13.491379310344827,13.133620689655173,16.0,15.0
22,NIH,0.7,0.8697478991596639,0.8949579831932774,10.806722689075633,11.747899159663865,13.0,13.0
23,NIH,0.7,0.8860759493670886,0.940928270042194,12.468354430379748,13.358649789029537,16.0,14.0
24,NIH,0.7,0.9407114624505928,0.9723320158102768,13.438735177865611,13.474308300395258,16.0,15.0
25,NIH,0.7,0.8934426229508197,0.9139344262295082,10.774590163934429,11.565573770491802,13.0,12.0
26,NIH,0.7,0.9404255319148936,0.9617021276595744,13.672340425531916,13.697872340425532,16.0,15.0
27,NIH,0.7,0.932806324110672,0.9288537549407114,14.296442687747035,13.189723320158103,16.0,14.0
28,NIH,0.7,0.8577777777777778,0.8977777777777778,10.755555555555556,11.991111111111111,13.0,13.0
29,NIH,0.7,0.9357429718875502,0.9598393574297188,13.329317269076306,13.598393574297187,16.0,15.0
0,NIH,0.8,0.9163179916317992,0.9163179916317992,13.912133891213388,13.288702928870292,16.0,14.0
1,NIH,0.8,0.9375,0.9017857142857144,14.558035714285714,13.602678571428571,16.0,15.0
2,NIH,0.8,0.895397489539749,0.9372384937238494,13.117154811715482,13.456066945606697,16.0,15.0
3,NIH,0.8,0.925311203319502,0.970954356846473,14.273858921161828,14.697095435684648,16.0,16.0
4,NIH,0.8,0.904382470119522,0.9601593625498008,13.912350597609562,13.99203187250996,16.0,15.0
5,NIH,0.8,0.954954954954955,0.9504504504504504,13.77027027027027,13.58108108108108,16.0,15.0
6,NIH,0.8,0.8844765342960289,0.8989169675090253,13.581227436823104,13.256317689530686,16.0,15.0
7,NIH,0.8,0.8901960784313725,0.9372549019607844,13.937254901960785,13.8,16.0,16.0
8,NIH,0.8,0.933609958506224,0.9875518672199172,13.556016597510371,14.136929460580912,16.0,16.0
9,NIH,0.8,0.9688888888888888,0.96,14.164444444444444,13.577777777777778,16.0,15.0
10,NIH,0.8,0.9047619047619048,0.8849206349206349,14.166666666666666,13.02777777777778,16.0,15.0
11,NIH,0.8,0.9694656488549618,0.9580152671755724,14.5,14.045801526717558,16.0,15.0
12,NIH,0.8,0.8849206349206349,0.9642857142857144,13.273809523809524,13.642857142857142,16.0,14.0
13,NIH,0.8,0.9149797570850202,0.931174089068826,14.506072874493928,13.866396761133604,16.0,15.0
14,NIH,0.8,0.9117647058823528,0.9453781512605042,13.445378151260504,13.504201680672267,16.0,15.0
15,NIH,0.8,0.8888888888888888,0.9629629629629628,14.218106995884774,14.444444444444445,16.0,16.0
